amplicon_number,gene_name
AMPL1006853,NTRK1
AMPL1006854,ALK
AMPL1006855,ALK
AMPL1006857,TFG
AMPL1006861,APC
AMPL1006862,ROS1
AMPL1006874,PARK2
AMPL1006875,PARK2
AMPL1006876,PARK2
AMPL1006877,PARK2
AMPL1006878,PARK2
AMPL1006879,PARK2
AMPL1006880,PARK2
AMPL1006881,PARK2
AMPL1006882,PARK2
AMPL1006884,PARK2
AMPL1006885,PARK2
AMPL1006916,CDK6
AMPL1006934,MET
AMPL1006935,MET
AMPL1006942,SMO
AMPL1006944,SHOC2
AMPL1006945,SHOC2
AMPL1006952,BRCA2
AMPL1006954,BRCA2
AMPL1006955,MAP2K1
AMPL1006956,NTRK3
AMPL1006957,IDH2
AMPL1006958,NTHL1
AMPL1006959,CDH1
AMPL1006960,CDH1
AMPL1006961,ZFHX3
AMPL1006962,TP53
AMPL1006963,ERBB2
AMPL1007045,ERF
AMPL1007046,PTPRT
AMPL1007048,ARAF
AMPL1007049,AR
AMPL1007050,AR
AMPL1007051,AR
AMPL10860,ESR1
AMPL115636,MET
AMPL117564,KRAS
AMPL13203,MET
AMPL154433,MET
AMPL164287,SMAD4
AMPL184170,EGFR
AMPL236541,ESR1
AMPL26083,SMAD4
AMPL283121,PARK2
AMPL349719,ARAF
AMPL362033,MET
AMPL399440,EGFR
AMPL399441,EGFR
AMPL399443,EGFR
AMPL399445,EGFR
AMPL401249,KRAS
AMPL401250,KRAS
AMPL401252,KRAS
AMPL401253,KRAS
AMPL405995,BRAF
AMPL410612,EGFR
AMPL410613,EGFR
AMPL410614,EGFR
AMPL410616,EGFR
AMPL410617,EGFR
AMPL410618,EGFR
AMPL410619,EGFR
AMPL410620,EGFR
AMPL410623,EGFR
AMPL410624,EGFR
AMPL410625,EGFR
AMPL410626,EGFR
AMPL410627,EGFR
AMPL410629,EGFR
AMPL410630,EGFR
AMPL410631,EGFR
AMPL410632,EGFR
AMPL410633,EGFR
AMPL410635,EGFR
AMPL410636,EGFR
AMPL410637,EGFR
AMPL410638,EGFR
AMPL410639,EGFR
AMPL410640,EGFR
AMPL410641,EGFR
AMPL410642,MET
AMPL410643,MET
AMPL410644,MET
AMPL410645,MET
AMPL410646,MET
AMPL410648,MET
AMPL410649,MET
AMPL410651,MET
AMPL410652,MET
AMPL410653,MET
AMPL410654,MET
AMPL410656,MET
AMPL410657,MET
AMPL410658,MET
AMPL410660,MET
AMPL410661,MET
AMPL410662,MET
AMPL410663,MET
AMPL410664,MET
AMPL418563,NRAS
AMPL430675,ALK
AMPL456669,BRCA2
AMPL459008,SMAD4
AMPL479589,SMAD4
AMPL479590,SMAD4
AMPL479591,SMAD4
AMPL479592,SMAD4
AMPL479594,SMAD4
AMPL479595,SMAD4
AMPL479596,SMAD4
AMPL479597,SMAD4
AMPL479599,SMAD4
AMPL533526,PIK3CA
AMPL607798,ESR1
AMPL607800,ESR1
AMPL607801,ESR1
AMPL607802,ESR1
AMPL607803,ESR1
AMPL607804,ESR1
AMPL607805,ESR1
AMPL607806,ESR1
AMPL607808,ESR1
AMPL698270,KIT
AMPL716928,BRCA2
AMPL937938,PDGFRA
